,0
Torba:s2,1
fit:s2,1
krata,1
obiad,1
stara,1
sprawa,1
eyeliner,1
mat:s2,1
iks:s2,1
spód,1
okulary,1
bój,1
politechnika,1
rozmowa,1
bez:s,1
wychodząca,1
badziewie,1
niża,1
Henne:s2,1
Margiela:s2,1
Lul:s2,1
pudelek,1
desa,1
znajomy:s,1
Chylak:s2,1
ukrycie,1
badziew,1
przedwczoraj:s,1
euro,1
Naturalny:s1,1
komplet,1
wełna:s1,1
zdecydowanie:s,1
Moga:s2,1
Anderson:s3,1
bomber,1
Myślisz:s2,1
gumka,1
akcesoria,1
szpic:s1,1
dzięk,1
lekarz,1
mistrzostwo,1
benefit,1
zabieg,1
Moga:s1,1
głupia,1
sytuacja,1
Margiela:s1,1
róż,1
Kika:s1,1
aktualizacja,1
mobilizacja,1
la:s,1
prosima,1
ciuch,1
perspektywa,1
wczoraj:s,1
nr,1
wymoga,1
estetyk,1
runo,1
Luba:s2,1
fit:s1,1
pracownik,1
Run:s2,1
bóg,1
studium,1
run,1
sąsiadka,1
mat:s3,1
mohair:s1,1
Lula:s3,1
zeberka,1
bycie,1
róża,1
Nike,1
wieko,1
narciarki,1
klasa,1
mat:s1,1
stop:s,1
zastój,1
Mirka:s3,1
zegarek,1
rock:s2,1
odcień,1
cie:s,1
znana,1
rewelacja,1
wymóg,1
rurka,1
szala,1
maj,1
szpica,1
góry,1
elementy,1
fotoszop,1
informacja,1
boj,1
powód:s1,1
umysł,1
traper:s1,1
salon,1
prezent,1
Pol:s2,1
Warszawa:s1,1
kurczę:s,1
Kika:s2,1
buziak,1
impreza,1
prawo:s,1
mima,1
piękno,1
legginsy,1
drobne,1
królik:s2,1
Virginia,1
szal,1
Kochan:s3,1
party,1
Langer:s3,1
Pola:s1,1
czuj,1
fanka,1
kształty,1
wybór,1
tiszert,1
dodatek,1
warszawa,1
Warszawa:s3,1
pascal,1
element,1
Kochana:s1,1
Lata:s2,1
T-shirt,1
Masza,1
kuzynek,1
Lata:s1,1
życie,1
broszura,1
traper:s2,1
Gray:s3,1
akcesorium,1
kantyna,1
sebum,1
ciuchy,1
dres,1
Chylak:s3,1
lot:s1,1
suwak,1
milion:s,1
Basic,1
wersja,1
jeansy,1
okular,1
niż:s,1
wart:s,1
blogerka,1
des,1
lot:s2,1
dziewczyna,1
wzorek,1
żyto,1
dżet,1
fotoszopy,1
Piękna,1
dżins,1
Mirka:s1,1
prace,1
serek,1
mata,1
przesyłka,1
runy,1
czuja,1
sztuk,1
bluza,1
kłaczek,1
kupno:s,1
Pola:s3,1
Salamon:s3,1
kozak:s2,1
sen:s1,1
dodatki,1
PR:s2,1
boja,1
korekta,1
Myślisz:s1,1
Torba:s3,1
Natasza,1
wiek,1
futro,1
Pol:s1,1
biel:s1,1
fot,1
mit,1
Szkoda:s3,1
Kieda:s1,1
rękawiczka,1
dżinsy,1
szybka,1
turpizm,1
Maja:s2,1
szpic:s2,1
kilka:s,1
doktór,1
kratka,1
part,1
paraliż,1
Salamon:s2,1
beza,1
zapięcie,1
efekt,1
LE,1
błysk,1
Noga:s2,1
Kochana:s2,1
Langer:s2,1
koga,1
Kayah,1
wełna:s2,1
aparat:s1,1
Podoba:s2,1
szablon,1
komentarz,1
Dzień:s1,1
królik:s1,1
akcent,1
trocha,1
szminka,1
dresy,1
inny:s,1
Art:s2,1
suma,1
Mirek:s3,1
spora,1
sweterek,1
szpilki,1
sznyt,1
poradnik,1
elegant,1
debil,1
Siebuła:s1,1
podszewka,1
Podoba:s1,1
sposób:s,1
wstępna,1
Warszawa:s2,1
zlot,1
prezenta,1
okazja,1
zarzut,1
dziś:s,1
sztyblet,1
kształt,1
studniówka,1
studia,1
nosek,1
policzek,1
zbyt:s,1
egzamin,1
fascynacja,1
pierś,1
Śliczny:s2,1
Supera:s2,1
łódka,1
Lul:s1,1
doktor:s1,1
maranta,1
obuwie,1
mohair:s2,1
wełn,1
spam,1
Anda,1
mina,1
powód:s2,1
